Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech,Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV3249;Calais;x;
PROV3250;Western Rhine;x;
PROV3251;Ansbach;x;
PROV3252;Bamberg;x;
PROV3253;Nassau-Koln;x;
PROV3254;Padeborn;x;
PROV3255;Schaumburg;x;
PROV3256;Usingen;x;
PROV3257;Sachsen-Griesbach;x;
PROV3258;Kharan;x;
PROV3259;Circars;x;
PROV3260;Kanker;x;
PROV3261;Dahmtari;x;
PROV3262;Gajapati;x;
PROV3263;North Konkan;x;
PROV3264;Desh;x;
PROV3265;West Kakatiya;x;
PROV3266;Satara;x;
PROV3267;Sindhudurga;x;
PROV3268;Karnata Ghati;x;
PROV3269;Ballari;x;
PROV3270;Hotan;x;
PROV3271;Jomda;x;
PROV3272;Mac;x;
PROV3273;Kutacane;x;
PROV3274;Jakarta;x;
PROV3275;Santebang;x;
PROV3276;Tapan;x;
PROV3277;Siduk;x;
PROV3278;Soengaitoelak;x;
PROV3279;Seiyun;x;
PROV3280;Rumah;x;
PROV3281;Fasad;x;
PROV3282;Najran;x;
PROV3283;Ahwiz;x;
PROV3284;Dammam;x;